CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
OTHER,03/17/2024 07:00:00 PM,24-013595,TAKE ON-CALL EMERGENCY/ETC VEHICLE (AMENDED),14X,353 GRAND AV,Oakland,CA,POINT (-122.256036961 37.808649003)
MISDEMEANOR ASSAULT,03/23/2024 11:57:00 PM,24-014686,BATTERY,04X,381 15TH ST,Oakland,CA,POINT (-122.269109042 37.804524017)
ROBBERY,03/25/2024 01:50:00 PM,24-014982,ROBBERY-FIREARM,27Y,1437 48TH AV,Oakland,CA,POINT (-122.209215712 37.77076433)
DUI,03/31/2024 02:39:00 AM,24-015964,DUI ALCOHOL/0.08 PERCENT,08X,500 27TH ST,Oakland,CA,POINT (-122.267242294 37.816190319)
ARSON,04/03/2024 07:41:00 AM,24-016426,ARSON: PROPERTY,77X,399 ADMIRAL TONEY WY,Oakland,CA,POINT (-122.298997255 37.820118937)
MISDEMEANOR ASSAULT,04/09/2024 11:51:00 PM,24-017586,BATTERY,14X,363 GRAND AV,Oakland,CA,POINT (-122.25528896 37.808661995)
,04/11/2024 09:30:00 AM,24-017879,THEFT,03X,316 9TH ST,Oakland,CA,POINT (-122.269995009 37.799889998)
FELONY ASSAULT,04/12/2024 10:51:00 PM,24-018082,ASSAULT WITH FIREARM ON PERSON,20X,3014 E 7TH ST,Oakland,CA,POINT (-122.230368072 37.7731394)
,04/12/2024 01:31:00 AM,24-018320,BURGLARY-NO FORCE,27X,1942 47TH AV,Oakland,CA,POINT (-122.207922992 37.773830997)
,04/13/2024 10:00:00 AM,24-018489,THEFT,07X,3265 HELEN ST,Oakland,CA,POINT (-122.286430999 37.824988015)
DUI,04/18/2024 07:56:00 PM,24-019220,DUI ALCOHOL/DRUGS,29X,2819 62ND AV,Oakland,CA,POINT (-122.186441013 37.771489009)
DUI,04/18/2024 10:09:00 PM,24-019237,DUI ALCOHOL/DRUGS,06X,3800 WEST ST,Oakland,CA,POINT (-122.271560928 37.827678299)
,04/20/2024 12:00:00 PM,24-019478,VANDALISM,23X,1630 35TH AV,Oakland,CA,POINT (-122.220538008 37.779433)
